CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
24;LC;140835;B;20;0;;3.6215;-0.18111;0.18705;AMARELA;1286;;0
142;MT;117714;A;9;0;;2.60222;2.09304;0.17394;AMARELA;1256;;0
150;MT;44285;E;8;0;;2.94723;2.87386;0.06733;AMARELA;1256;;0
168;MT;39385;C;12;0;;2.28918;2.23364;0.23391;LEITOR TELA;1220;;0
151;MT;31650;C;27;0;;3.33563;1.08025;0.20912;LARANJA;1217;;0
159;MT;32176;B;25;0;;2.26313;1.23798;0.16267;LARANJA;1218;;1
154;MT;141570;B;20;0;;1.79257;0.86167;0.17314;LARANJA;1218;;1
163;MT;81742;E;2;0;;1.63418;1.34475;0.13956;ROSA;1213;;0
149;MT;14410;E;4;0;;2.38237;1.88674;0.10321;CINZA;1214;;0
56;CH;140453;A;17;0;;3.06915;0.94872;0.17725;ROSA;1194;;0
53;CH;141104;A;13;0;;3.50089;0.56073;0.15911;VERDE;1199;;0
85;CH;141383;C;10;0;;1.74142;-0.55783;0.01877;LEITOR TELA;1200;;0
87;CH;140376;A;2;0;;2.8641;0.24521;0.19053;LARANJA;1198;;1
86;CH;140534;D;6;0;;2.79594;0.44013;0.15523;VERDE;1199;;0
82;CH;141046;B;20;0;;1.10013;0.36112;0.3516;VERDE;1199;;0
63;CH;140194;A;23;0;;1.5807;1.18538;0.13863;ROSA;1195;;0
56;CH;140453;A;17;0;;3.06915;0.94872;0.17725;ROSA;1195;;0
47;CH;140499;B;30;0;;1.53812;0.12887;0.18969;ROSA;1195;;0
60;CH;125719;E;23;0;;2.53325;0.6643;0.17011;LEITOR TELA;1200;;0
22;LC;140847;C;20;0;;3.15133;0.25141;0.1738;AZUL;1201;;0
16;LC;140918;A;26;0;;2.96562;0.57507;0.16642;AZUL;1201;;0
1;LC;140649;B;5;0;;2.23798;0.86091;0.18548;LARANJA;1207;1;0
4;LC;140732;B;7;0;;2.91867;0.12363;0.19992;LARANJA;1207;0;0
13;LC;141243;A;11;0;;2.00614;-0.27647;0.09754;LARANJA;1207;;0
12;LC;141802;E;10;0;;2.59779;-0.03089;0.21017;LARANJA;1207;;0
10;LC;141212;B;11;0;;1.8902;0.53683;0.20416;LARANJA;1207;;0
5;LC;140718;E;8;0;;2.73373;0.00161;0.19391;ROSA;1283;1;0
31;LC;140869;E;24;0;;1.15309;1.88931;0.22049;LARANJA;1208;;1
3;LC;140743;B;6;0;;2.79003;0.21669;0.49995;LARANJA;1208;0;1
44;LC;141776;C;15;0;;1.22341;0.82185;0.06897;VERDE;1209;;0
3;LC;140730;D;7;0;;2.77283;0.35669;0.17995;ROSA;1283;0;0
76;CH;141350;A;12;0;;1.97882;2.37904;0.24518;VERDE;1311;;0
67;CH;140571;B;4;0;;2.01758;1.4703;0.23595;VERDE;1311;;0
50;CH;141118;C;7;0;;2.58516;0.39346;0.17772;VERDE;1311;;0
89;CH;141049;D;22;0;;1.40431;0.08591;0.21032;VERDE;1312;;0
134;CN;60978;B;25;0;;1.85476;1.5224;0.17445;CINZA;1224;;0
170;MT;125959;B;23;0;;2.2547;1.1525;0.16991;AMARELA;1292;;0
169;MT;26888;C;12;0;;1.83542;2.96824;0.30697;AMARELA;1292;;0
167;MT;111560;A;15;0;;2.34866;1.28885;0.1796;AMARELA;1292;;0
137;MT;81329;D;19;0;;2.97925;1.78747;0.19488;ROSA;1293;;0
46;CH;140165;B;1;0;;1.08066;0.19929;0.20308;ROSA;1274;;0
89;CH;140489;C;27;0;;2.44955;0.28832;0.1725;ROSA;1274;;0
50;CH;85740;D;23;0;;1.06381;0.36024;0.20981;BRANCA;1273;;0
51;CH;141354;B;3;0;;1.93619;-0.42999;0.19883;ROSA;1274;;0
49;CH;140539;E;7;0;;2.09613;0.22557;0.2149;ROSA;1274;;0
4;LC;140732;B;7;0;;2.91867;0.12363;0.19992;VERDE;1313;0;0
93;CN;126604;D;12;0;;3.09202;0.32873;0.1577;LARANJA;1227;;0
91;CN;40724;C;2;0;;1.87231;-0.45616;0.19791;LARANJA;1228;;1
122;CN;48641;C;24;0;;3.37503;1.55583;0.25041;LARANJA;1228;;1
120;CN;83552;D;7;0;;2.40735;1.62185;0.13073;LARANJA;1228;;1
117;CN;141723;C;11;0;;2.6872;0.69491;0.15317;LARANJA;1228;;1
58;CH;141129;A;14;0;;2.76836;0.6298;0.17991;LARANJA;1278;;1
107;CN;12018;D;29;0;;1.82986;1.82071;0.19864;AZUL;1221;;0
120;CN;64023;E;13;0;;1.81427;1.4199;0.25187;AMARELA;1222;;0
48;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;AMARELA;1272;;0
33;LC;140878;D;28;0;;2.15451;0.45326;0.16205;ROSA;1283;;0
28;LC;140870;A;24;0;;1.89752;0.42059;0.21091;ROSA;1283;;0
25;LC;140806;D;16;0;;2.24767;0.37674;0.18584;ROSA;1283;;0
22;LC;14727;D;16;0;;2.1034;-0.07713;0.12881;ROSA;1283;;0
21;LC;141283;B;14;0;;2.20125;0.82582;0.2119;ROSA;1283;;0
128;CN;47231;C;5;0;;5.9367;2.33396;0.11437;CINZA;1224;;0
104;CN;47317;A;4;0;;2.53442;1.21479;0.15339;LARANJA;1228;;1
103;CN;66259;B;20;0;;2.34079;1.00185;0.23885;LARANJA;1228;;1
157;MT;81743;D;2;0;;1.72431;0.7783;0.18886;ROSA;1215;;0
171;MT;55880;B;28;0;;1.83744;2.4295;0.10941;ROSA;1293;;0
165;MT;117920;A;30;0;;2.92825;1.17752;0.17261;ROSA;1293;;0
161;MT;125936;E;13;0;;1.74431;2.97759;0.09777;ROSA;1293;;0
96;CN;63155;D;26;0;;3.97972;1.34607;0.24211;AZUL;1221;;0
130;CN;97149;A;17;0;;0.99037;1.55817;0.20321;AMARELA;1222;;0
35;LC;140905;B;28;0;;2.28551;2.41311;0.221;VERDE;1314;;0
28;LC;140987;C;22;0;;1.84344;1.65132;0.12303;VERDE;1314;;0
22;LC;140858;C;16;0;;2.59213;1.19798;0.23009;VERDE;1314;;0
65;CH;96984;C;14;0;;1.16096;1.65456;0.1754;AMARELA;1275;;0
37;LC;141215;D;12;0;;2.56885;1.16647;0.1452;LARANJA;1287;;0
82;CH;140951;D;22;0;;2.63908;0.27834;0.17545;LARANJA;1237;;0
23;LC;140952;B;17;0;;1.20716;0.28152;0.18862;LARANJA;1287;;0
111;CN;60037;B;9;0;;3.05374;1.81691;0.33738;VERDE;1317;;0
45;LC;15026;D;14;0;;1.85867;0.9812;0.24537;AMARELA;1246;;0
28;LC;140870;A;24;0;;1.89752;0.42059;0.21091;AMARELA;1246;;0
160;MT;125914;D;24;0;;1.7035;1.0704;0.1698;LEITOR TELA;1300;;0
148;MT;37312;D;4;0;;1.84465;0.56332;0.22289;LEITOR TELA;1300;;0
144;MT;64151;E;2;0;;2.19283;2.05125;0.07643;LEITOR TELA;1300;;0
141;MT;53181;B;26;0;;2.23246;0.40894;0.15192;LEITOR TELA;1300;;0
107;CN;87842;E;9;0;;1.65903;1.58501;0.24699;AMARELA;1302;;0
108;CN;117929;E;19;0;;3.66348;0.70045;0.30851;CINZA;1303;;0
98;CN;88089;C;28;0;;1.81565;0.85403;0.17723;CINZA;1303;;0
93;CN;14398;B;26;0;;1.10698;1.7492;0.20057;CINZA;1303;;0
80;CH;141122;D;11;0;;2.6472;0.15404;0.18491;AZUL;1271;;0
155;MT;111538;D;27;0;;1.56473;0.75949;0.32554;AMARELA;1296;;0
152;MT;14618;C;9;0;;1.13695;2.25067;0.14845;AMARELA;1296;;0
177;MT;125975;A;6;0;;1.42997;1.57887;0.13599;AMARELA;1255;;0
169;MT;141563;E;7;0;;2.0018;1.46283;0.23942;AMARELA;1255;;0
109;CN;97149;A;17;0;;0.99037;1.55817;0.20321;LARANJA;1228;;1
157;MT;117596;B;5;0;;1.88551;3.17516;0.20307;AMARELA;1255;;0
156;MT;14661;C;11;0;;2.1714;0.98005;0.19773;AMARELA;1255;;0
148;MT;37312;D;4;0;;1.84465;0.56332;0.22289;LARANJA;1297;;0
137;MT;81329;D;19;0;;2.97925;1.78747;0.19488;LARANJA;1297;;0
174;MT;126030;D;18;0;;3.85903;2.30004;0.32314;LARANJA;1298;;1
172;MT;15451;D;24;0;;2.088;1.815;0.224;LARANJA;1298;;1
78;CH;140536;B;2;0;;1.85938;0.20017;0.19319;BRANCA;1233;;0
73;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;BRANCA;1233;;0
69;CH;141066;C;16;0;;2.69465;0.38977;0.1655;BRANCA;1233;;0
64;CH;140157;E;12;0;;3.11132;-0.20743;0.2064;BRANCA;1233;;0
145;MT;125965;C;10;0;;2.47907;0.45055;0.17829;LARANJA;1257;;0
141;MT;53181;B;26;0;;2.23246;0.40894;0.15192;LARANJA;1257;;0
59;CH;63858;C;4;0;;2.12258;0.82426;0.22694;LARANJA;1277;;0
179;MT;14774;E;18;0;;1.641;0.045;0.175;LEITOR TELA;1260;;0
172;MT;15451;D;24;0;;2.088;1.815;0.224;LEITOR TELA;1260;;0
158;MT;125956;A;29;0;;1.21177;3.11314;0.10322;LARANJA;1298;;1
96;CN;85436;E;29;0;;1.56816;1.75342;0.18632;VERDE;1317;;0
129;CN;111665;C;20;0;;3.83841;1.04691;0.14482;VERDE;1318;;0
118;CN;12018;D;29;0;;1.82986;1.82071;0.19864;VERDE;1318;;0
180;MT;111560;A;15;0;;2.34866;1.28885;0.1796;AZUL;1251;;0
93;CN;111713;C;2;0;;1.29931;2.22016;0.2704;LARANJA;1267;;0
50;CH;140588;B;28;0;;2.21675;0.28898;0.20874;AZUL;1271;;0
47;CH;141345;E;26;0;;1.64714;-0.15918;0.19597;AZUL;1271;;0
148;MT;37312;D;4;0;;1.84465;0.56332;0.22289;AMARELA;1255;;0
146;MT;6954;C;3;0;;2.416;0.991;0.118;AMARELA;1256;;0
174;MT;125990;A;23;0;;2.71883;1.96573;0.12171;AZUL;1251;;0
165;MT;77364;E;3;0;;2.32172;3.22024;0.06466;AZUL;1251;;0
152;MT;14434;C;4;0;;1.22381;2.26427;0.1642;AZUL;1251;;0
109;CN;89877;E;30;0;;2.64928;1.83585;0.205;AMARELA;1302;;0
152;MT;125965;C;10;0;;2.47907;0.45055;0.17829;AMARELA;1252;;0
111;CN;97133;E;18;0;;2.64554;0.91215;0.21322;AZUL;1261;;0
109;CN;117929;E;19;0;;3.66348;0.70045;0.30851;AZUL;1261;;0
127;CN;117840;A;23;0;;1.30209;2.54323;0.15444;AMARELA;1306;;0
125;CN;111492;D;22;0;;1.98795;2.27444;0.11215;AMARELA;1306;;0
112;CN;55705;D;14;0;;1.67571;0.34061;0.19471;AMARELA;1306;;0
108;CN;84984;C;11;0;;1.42963;0.8045;0.16236;AMARELA;1306;;0
107;CN;97670;D;10;0;;1.79447;0.29152;0.16547;AMARELA;1306;;0
112;CN;55705;D;14;0;;1.67571;0.34061;0.19471;ROSA;1264;;0
111;CN;141760;D;13;0;;2.4239;1.19043;0.26425;LARANJA;1307;;0
110;CN;11543;E;12;0;;1.97133;0.18515;0.1645;LARANJA;1307;;0
155;MT;86783;B;22;0;;3.58609;3.00088;0.19242;LARANJA;1218;;1
5;LC;140708;A;5;0;;2.51157;0.79309;0.17248;AZUL;1281;0;0
83;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;LEITOR TELA;1240;;0
67;CH;141050;A;26;0;;2.73781;1.71743;0.23395;LEITOR TELA;1240;;0
31;LC;141450;A;2;0;;2.53799;0.9971;0.24444;AZUL;1241;;0
23;LC;140844;D;18;0;;1.35625;-0.20143;0.209;AZUL;1241;;0
16;LC;141423;E;20;0;;2.43139;0.95743;0.24644;AZUL;1241;;0
5;LC;140652;E;5;0;;1.55494;0.70223;0.21103;BRANCA;1284;1;0
41;LC;141423;E;20;0;;2.43139;0.95743;0.24644;AMARELA;1285;;0
77;CH;140528;A;18;0;;3.7616;0.50306;0.17834;ROSA;1234;;0
177;MT;68293;A;1;0;;2.35737;1.93601;0.11076;LARANJA;1257;;0
160;MT;125914;D;24;0;;1.7035;1.0704;0.1698;LARANJA;1257;;0
161;MT;141567;D;24;0;;1.18793;1.75696;0.15183;CINZA;1214;;0
49;CH;140543;E;8;0;;0.81816;1.56049;0.23382;BRANCA;1193;;0
37;LC;141215;D;12;0;;2.56885;1.16647;0.1452;AMARELA;1285;;0
34;LC;140909;A;27;0;;2.0402;0.915;0.1813;AMARELA;1285;;0
3;LC;140708;A;5;0;;2.51157;0.79309;0.17248;AMARELA;1242;0;0
97;CN;141738;A;4;0;;2.03842;2.62635;0.23027;LARANJA;1308;;1
26;LC;141208;D;10;0;;2.30879;0.81162;0.16623;BRANCA;1244;;0
13;LC;141405;C;4;0;;1.30934;-0.45847;0.20553;BRANCA;1244;;0
143;MT;15451;D;24;0;;2.088;1.815;0.224;CINZA;1294;;0
162;MT;26888;C;12;0;;1.83542;2.96824;0.30697;AMARELA;1295;;0
159;MT;28543;D;16;0;;1.5737;0.99995;0.19925;AMARELA;1295;;0
157;MT;117596;B;5;0;;1.88551;3.17516;0.20307;AMARELA;1295;;0
169;MT;141563;E;7;0;;2.0018;1.46283;0.23942;AMARELA;1296;;0
117;CN;96496;B;17;0;;3.65573;1.2408;0.31288;LEITOR TELA;1310;;0
46;CH;140153;D;1;0;;2.45957;2.43937;0.13227;BRANCA;1233;;0
5;LC;140595;B;5;0;;2.11783;1.27877;0.12469;BRANCA;1204;0;0
32;LC;140942;D;25;0;;2.53674;0.2806;0.1843;ROSA;1206;;0
31;LC;140869;E;24;0;;1.15309;1.88931;0.22049;ROSA;1206;;0
47;CH;96984;C;14;0;;1.16096;1.65456;0.1754;BRANCA;1233;;0
86;CH;85740;D;23;0;;1.06381;0.36024;0.20981;ROSA;1234;;0
125;CN;82446;A;23;0;;2.66863;2.35839;0.05501;CINZA;1224;;0
111;CN;60037;B;9;0;;3.05374;1.81691;0.33738;ROSA;1225;;0
104;CN;47317;A;4;0;;2.53442;1.21479;0.15339;ROSA;1225;;0
81;CH;140576;B;21;0;;1.33537;-0.77276;0.19854;LARANJA;1278;;1
21;LC;141215;D;12;0;;2.56885;1.16647;0.1452;AZUL;1241;;0
40;LC;140870;A;24;0;;1.89752;0.42059;0.21091;BRANCA;1284;;0
1;LC;140565;D;5;0;;2.78457;0.65111;0.16995;AMARELA;1242;1;0
14;LC;141241;B;11;0;;1.67142;1.62234;0.24018;AMARELA;1285;;0
29;LC;141394;B;23;0;;1.70264;0.93679;0.19894;AMARELA;1245;;0
173;MT;25619;E;10;0;;1.9451;2.68757;0.0914;LARANJA;1297;;0
76;CH;141017;D;7;0;;2.01061;1.68198;0.19435;AMARELA;1272;;0
71;CH;140184;B;23;0;;2.24911;0.26187;0.21039;AMARELA;1272;;0
98;CN;88570;C;4;0;;2.24692;1.39111;0.18364;LARANJA;1267;;0
81;CH;141354;B;3;0;;1.93619;-0.42999;0.19883;BRANCA;1273;;0
79;CH;140539;E;7;0;;2.09613;0.22557;0.2149;BRANCA;1273;;0
71;CH;140611;A;19;0;;1.72609;-0.17378;0.1911;ROSA;1274;;0
180;MT;44095;C;8;0;;2.56873;2.03809;0.20898;CINZA;1254;;0
71;CH;140611;A;19;0;;1.72609;-0.17378;0.1911;AMARELA;1276;;0
114;CN;61920;B;1;0;;1.2005;0.90874;0.25463;VERDE;1317;;0
90;CH;140588;B;28;0;;2.21675;0.28898;0.20874;AMARELA;1236;;0
88;CH;140184;B;23;0;;2.24911;0.26187;0.21039;AMARELA;1236;;0
72;CH;141313;A;9;0;;1.73459;1.11117;0.2438;AMARELA;1236;;0
60;CH;140538;A;6;0;;1.33134;0.83509;0.23955;AMARELA;1236;;0
54;CH;141028;D;10;0;;2.27674;0.22219;0.20185;AMARELA;1236;;0
74;CH;141131;B;26;0;;2.78931;0.82081;0.25733;AMARELA;1192;;0
5;LC;141715;E;8;0;;2.65505;0.51608;0.18619;LEITOR TELA;1210;1;0
5;LC;140785;A;8;0;;2.4787;0.39216;0.33723;LEITOR TELA;1210;0;0
2;LC;140736;D;8;0;;2.40685;0.91466;0.10159;LEITOR TELA;1210;0;0
42;LC;140884;A;17;0;;1.35926;1.14954;0.23381;ROSA;1203;;0
36;LC;140899;D;29;0;;1.22127;1.21426;0.22043;ROSA;1203;;0
26;LC;141448;C;19;0;;0.99432;-0.13224;0.02226;ROSA;1203;;0
1;LC;140595;B;5;0;;2.11783;1.27877;0.12469;LARANJA;1207;0;0
15;LC;141201;C;12;0;;1.33139;1.23174;0.22153;ROSA;1203;;0
145;MT;125929;B;9;0;;1.58702;2.1908;0.24232;AZUL;1211;;0
138;MT;141582;C;30;0;;1.46956;2.91942;0.24283;AZUL;1211;;0
137;MT;31650;C;27;0;;3.33563;1.08025;0.20912;AZUL;1211;;0
161;MT;117706;A;19;0;;2.26306;1.45121;0.23837;AMARELA;1212;;0
65;CH;87839;A;9;0;;1.98671;1.12588;0.26402;AZUL;1231;;0
17;LC;141406;D;29;0;;2.58466;2.6116;0.171;ROSA;1283;;0
15;LC;95315;E;9;0;;1.63827;-0.0426;0.13773;ROSA;1283;;0
112;CN;26042;D;19;0;;3.9865;1.63479;0.19026;CINZA;1224;;0
102;CN;54804;E;24;0;;3.7763;1.61245;0.10238;ROSA;1225;;0
101;CN;97813;C;15;0;;3.04923;2.24438;0.15941;ROSA;1225;;0
57;CH;140157;E;12;0;;3.11132;-0.20743;0.2064;AMARELA;1275;;0
61;CH;141024;D;8;0;;1.38076;0.46553;0.21175;AMARELA;1276;;0
60;CH;140538;A;6;0;;1.33134;0.83509;0.23955;AMARELA;1276;;0
55;CH;141422;A;13;0;;2.48797;0.09997;0.18327;AMARELA;1276;;0
52;CH;141027;C;4;0;;1.25504;0.04005;0.20306;AMARELA;1276;;0
105;CN;97767;D;6;0;;1.78472;1.98863;0.10818;VERDE;1317;;0
120;CN;40431;B;24;0;;2.92795;1.7851;0.12882;AMARELA;1302;;0
114;CN;14425;A;30;0;;1.15501;0.25068;0.12671;AMARELA;1302;;0
95;CN;84984;C;11;0;;1.42963;0.8045;0.16236;AMARELA;1302;;0
131;CN;141760;D;13;0;;2.4239;1.19043;0.26425;CINZA;1303;;0
104;CN;89506;E;8;0;;1.59807;2.0059;0.08163;AMARELA;1306;;0
126;CN;14364;E;22;0;;1.30204;-0.26232;0.10055;AMARELA;1265;;0
86;CH;85740;D;23;0;;1.06381;0.36024;0.20981;LARANJA;1278;;1
83;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;LEITOR TELA;1280;;0
82;CH;140951;D;22;0;;2.63908;0.27834;0.17545;LEITOR TELA;1280;;0
68;CH;140544;C;6;0;;3.93201;1.29457;0.20117;LEITOR TELA;1280;;0
45;LC;15026;D;14;0;;1.85867;0.9812;0.24537;ROSA;1243;;0
40;LC;141467;E;22;0;;2.80475;0.9347;0.17052;ROSA;1243;;0
21;LC;141283;B;14;0;;2.20125;0.82582;0.2119;AMARELA;1245;;0
147;MT;40387;D;17;0;;2.22187;1.36509;0.13859;LARANJA;1298;;1
143;MT;117727;A;11;0;;2.49104;3.01094;0.08231;LARANJA;1298;;1
140;MT;82009;D;2;0;;1.97365;0.14531;0.19547;LARANJA;1298;;1
124;CN;81637;D;21;0;;3.54994;1.89617;0.19877;LEITOR TELA;1310;;0
121;CN;63131;C;20;0;;3.05747;2.28881;0.29517;LEITOR TELA;1310;;0
65;CH;96984;C;14;0;;1.16096;1.65456;0.1754;ROSA;1234;;0
55;CH;141422;A;13;0;;2.48797;0.09997;0.18327;ROSA;1234;;0
53;CH;141070;E;8;0;;1.69043;0.2202;0.19072;ROSA;1234;;0
46;CH;140165;B;1;0;;1.08066;0.19929;0.20308;AMARELA;1235;;0
89;CH;140489;C;27;0;;2.44955;0.28832;0.1725;AMARELA;1235;;0
121;CN;63131;C;20;0;;3.05747;2.28881;0.29517;LEITOR TELA;1270;;0
107;CN;97670;D;10;0;;1.79447;0.29152;0.16547;LEITOR TELA;1270;;0
106;CN;126545;A;10;0;;1.75908;1.33559;0.23258;LEITOR TELA;1270;;0
119;CN;117823;D;6;0;;3.78075;1.77929;0.05731;VERDE;1229;;0
117;CN;141723;C;11;0;;2.6872;0.69491;0.15317;VERDE;1229;;0
144;MT;141563;E;7;0;;2.0018;1.46283;0.23942;AZUL;1291;;0
64;CH;141113;D;27;0;;1.20452;0.31781;0.22687;AZUL;1191;;0
47;CH;140499;B;30;0;;1.53812;0.12887;0.18969;ROSA;1194;;0
8;LC;140920;E;3;0;;1.41999;0.67926;0.21271;LARANJA;1208;;1
135;CN;63155;D;26;0;;3.97972;1.34607;0.24211;LARANJA;1227;;0
133;CN;66330;A;7;0;;1.0858;2.67412;0.10118;LARANJA;1227;;0
63;CH;141129;A;14;0;;2.76836;0.6298;0.17991;AMARELA;1232;;0
159;MT;32176;B;25;0;;2.26313;1.23798;0.16267;LARANJA;1217;;0
156;MT;24523;A;28;0;;2.68656;2.50464;0.12713;LARANJA;1217;;0
73;CH;141022;E;25;0;;3.83368;0.79149;0.11063;LARANJA;1198;;1
71;CH;28657;A;22;0;;1.04981;1.40616;0.22588;VERDE;1199;;0
51;CH;141354;B;3;0;;1.93619;-0.42999;0.19883;LARANJA;1277;;0
45;LC;15026;D;14;0;;1.85867;0.9812;0.24537;ROSA;1283;;0
41;LC;141423;E;20;0;;2.43139;0.95743;0.24644;ROSA;1283;;0
75;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AMARELA;1235;;0
173;MT;25619;E;10;0;;1.9451;2.68757;0.0914;LARANJA;1258;;1
140;MT;82009;D;2;0;;1.97365;0.14531;0.19547;LEITOR TELA;1260;;0
146;MT;53460;C;26;0;;2.93674;0.49751;0.15129;AZUL;1291;;0
